nivel_carrera,simoleons,nivel_habilidad,num_amigos,tiene_pareja,num_mascotas,horas_ocio,num_hijos,nivel_social,horas_trabajo,nivel_fitness,tiene_enemigos,moodlets_positivos,moodlets_negativos,num_logros,aspiracion,rasgo,carrera,etapa_vida,tipo_hogar,mundo,animo_score,feliz
10,4053,6,1,0,1,7.3,5,1,1.3,3,0,5,7,38,Riqueza,Perezoso,Negocios,Adulto_Joven,Casa_Propia,Pleasantview,63.1,0
9,15514,8,4,1,3,3.4,1,6,3.2,7,0,6,1,13,Naturaleza,Sociable,Educación,Niño,Casa_Familiar,Oasis_Springs,92.7,1
3,5637,2,8,0,0,9.4,3,2,10.2,8,1,5,6,21,Familia,Alegre,Educación,Adolescente,Departamento,San_Myshuno,78.3,1
2,47318,6,9,1,1,3.9,1,1,7.4,8,1,8,8,0,Conocimiento,Alegre,Ingeniería,Adulto,Compartido,Oasis_Springs,69.4,0
4,7424,3,20,0,2,2.0,5,3,6.3,2,0,4,2,20,Conocimiento,Perezoso,Negocios,Adulto,Casa_Familiar,Willow_Creek,52.4,0
5,23256,4,7,1,2,5.0,4,8,1.2,3,1,9,2,29,Naturaleza,Perezoso,Medicina,Adulto_Mayor,Casa_Propia,Del_Sol_Valley,60.5,0
3,48392,1,10,0,1,11.7,4,7,1.9,4,0,7,9,41,Riqueza,Perezoso,Ingeniería,Adulto,Departamento,Willow_Creek,64.5,0
1,68731,8,0,1,2,5.8,1,3,1.3,8,0,0,8,28,Familia,Creativo,Negocios,Adolescente,Casa_Propia,Pleasantview,52.9,0
5,2572,5,1,0,1,13.5,3,10,2.3,5,0,1,7,24,Amor,Perezoso,Arte,Adulto,Departamento,Oasis_Springs,41.3,0
5,71521,10,10,1,1,0.5,4,10,2.8,10,0,3,5,8,Riqueza,Alegre,Derecho,Adulto_Mayor,Departamento,Pleasantview,72.3,1
4,51968,6,7,0,1,0.3,3,2,5.2,10,0,2,0,10,Atletismo,Creativo,Arte,Adulto,Casa_Familiar,Windenburg,62.1,0
9,917,2,13,1,2,12.5,3,1,4.0,10,0,8,4,6,Fama,Sociable,Ingeniería,Adulto,Departamento,Oasis_Springs,70.2,1
3,9814,7,17,0,4,2.7,3,10,0.4,4,0,0,4,3,Familia,Perezoso,Educación,Adulto_Joven,Compartido,Del_Sol_Valley,58.4,0
9,95425,0,1,0,0,3.0,3,6,9.9,7,0,8,7,9,Naturaleza,Artístico,Derecho,Adulto_Mayor,Casa_Propia,Willow_Creek,49.6,0
1,45048,8,3,0,0,10.9,3,9,9.9,7,0,4,5,26,Familia,Ermitaño,Arte,Adolescente,Departamento,Willow_Creek,62.4,0
6,92508,4,11,1,0,2.5,5,8,4.4,2,0,6,4,18,Naturaleza,Bromista,Negocios,Adulto_Joven,Casa_Familiar,San_Myshuno,87.7,1
10,51568,0,2,1,0,8.6,1,9,10.8,10,1,2,3,18,Atletismo,Sociable,Medicina,Adolescente,Compartido,San_Myshuno,63.6,0
3,13280,5,6,1,2,0.6,3,5,11.6,3,1,0,4,23,Amor,Bromista,Atletismo,Niño,Departamento,Oasis_Springs,27.1,0
7,72908,5,14,1,4,12.3,4,5,4.6,5,1,10,9,21,Naturaleza,Alegre,Medicina,Adulto,Casa_Familiar,Del_Sol_Valley,100.0,1
8,47832,2,0,1,1,8.0,1,10,8.1,8,0,6,5,23,Conocimiento,Bromista,Arte,Niño,Casa_Familiar,Del_Sol_Valley,72.3,1
4,37882,1,12,0,3,6.3,0,7,10.3,1,0,5,4,21,Atletismo,Sociable,Tecnología,Adolescente,Departamento,Windenburg,70.5,1
7,20981,6,2,0,4,5.1,5,3,9.4,0,1,9,7,42,Creatividad,Bromista,Negocios,Adulto,Casa_Familiar,San_Myshuno,49.0,0
7,44448,4,15,1,0,4.4,4,5,2.8,0,1,3,2,24,Amor,Ermitaño,Ingeniería,Adolescente,Casa_Propia,Windenburg,76.2,1
5,96396,3,15,1,0,3.7,1,1,6.7,9,1,0,10,26,Fama,Artístico,Medicina,Adulto_Mayor,Departamento,Oasis_Springs,35.6,0
4,21900,6,1,0,3,13.7,0,10,5.1,5,0,4,9,15,Naturaleza,Ermitaño,Atletismo,Niño,Casa_Familiar,Windenburg,38.5,0
5,56647,10,11,1,0,4.3,2,7,3.4,6,0,2,9,9,Familia,Alegre,Negocios,Adulto_Joven,Casa_Familiar,Del_Sol_Valley,83.3,1
2,3379,9,9,0,4,3.3,4,6,7.6,10,0,0,4,4,Conocimiento,Creativo,Educación,Niño,Casa_Familiar,Pleasantview,50.4,0
5,70046,2,20,0,0,6.4,2,6,0.1,8,1,9,10,37,Naturaleza,Artístico,Medicina,Niño,Casa_Propia,Pleasantview,71.0,1
4,89106,4,0,1,2,3.6,4,10,2.0,0,0,8,8,16,Atletismo,Perezoso,Educación,Adulto,Casa_Propia,Oasis_Springs,61.9,0
4,97791,8,14,1,4,3.8,4,7,1.2,7,0,2,9,19,Conocimiento,Alegre,Arte,Niño,Compartido,Windenburg,85.0,1
3,81132,1,11,0,4,3.7,1,2,11.9,8,1,10,9,27,Conocimiento,Artístico,Arte,Adulto_Mayor,Casa_Propia,Willow_Creek,63.9,0
6,67333,10,20,0,4,1.9,2,6,1.9,0,0,0,5,37,Amor,Alegre,Medicina,Adulto_Joven,Casa_Familiar,Windenburg,69.4,0
1,58310,4,15,0,3,12.4,4,1,10.0,7,1,0,3,21,Riqueza,Ermitaño,Ingeniería,Adulto_Joven,Casa_Familiar,Pleasantview,64.7,0
1,87091,5,5,1,4,2.6,2,8,10.4,5,0,7,5,25,Atletismo,Creativo,Negocios,Adulto_Mayor,Casa_Familiar,Willow_Creek,66.5,0
3,1080,10,2,1,2,0.3,2,8,6.0,2,0,2,4,15,Fama,Sociable,Medicina,Adolescente,Casa_Familiar,Oasis_Springs,65.9,0
6,24131,2,12,1,4,10.9,3,5,0.7,2,0,8,7,49,Riqueza,Bromista,Negocios,Adolescente,Casa_Propia,Pleasantview,94.6,1
3,4570,1,17,0,4,6.3,2,8,9.1,1,0,6,3,20,Naturaleza,Perezoso,Educación,Adulto_Joven,Casa_Familiar,Windenburg,57.4,0
5,23016,9,11,1,4,5.0,2,1,7.1,1,1,4,9,8,Naturaleza,Artístico,Educación,Adulto,Departamento,Windenburg,78.7,1
